x,y,time,hab0,hab1,hab2,hab3,hab4,hab5,strDist
191,57,332.53361,0,0,0,1,0,0,-0.562862312
189,55,333.51194,0,0,0,1,0,0,-0.422011052
189,55,334.01028,0,0,0,1,0,0,-0.430003542
208,56,336.01027,0,1,0,0,0,0,-1.086697978
208,58,336.52972,0,1,0,0,0,0,-0.961569649
213,59,346.53194,0,1,0,0,0,0,-0.91426983
215,55,347.02361,0,1,0,0,0,0,-1.068485583
219,51,347.50611,0,1,0,0,0,0,-1.105434472
220,51,348.01056,0,1,0,0,0,0,-1.100979641
221,52,348.5025,0,1,0,0,0,0,-0.975720287
223,48,349.01222,0,1,0,0,0,0,-1.055252115
223,47,349.51056,0,1,0,0,0,0,-1.054465969
223,47,350.0175,0,1,0,0,0,0,-1.090628711
224,48,350.53861,0,1,0,0,0,0,-1.011620981
223,45,351.02806,0,1,0,0,0,0,-1.081063928
223,46,351.52583,0,1,0,0,0,0,-1.078050366
221,51,352.01111,0,1,0,0,0,0,-1.080801879
215,55,352.52917,0,1,0,0,0,0,-1.081850074
207,56,353.01056,0,1,0,0,0,0,-1.065865094
206,59,353.535,0,1,0,0,0,0,-0.911518317
208,61,356.5125,0,1,0,0,0,0,-0.776563156
209,60,358.51833,0,1,0,0,0,0,-0.791893014
210,56,359.01111,0,1,0,0,0,0,-1.085125685
203,57,359.52417,0,0,0,0,0,1,-1.043459917
202,58,360.00444,0,0,0,0,0,1,-1.098097104
200,59,360.51194,0,0,0,0,0,1,-1.081981099
200,59,361.00556,0,0,0,0,0,1,-1.051190358
200,60,361.52972,0,0,0,0,0,1,-1.000090831
200,60,362.01056,0,0,0,0,0,1,-1.017779129
198,58,362.51083,0,0,0,0,0,1,-1.00716615
202,58,367.01917,0,0,0,0,0,1,-1.107530862
206,58,367.52083,0,1,0,0,0,0,-1.080932903
215,61,368.01222,0,1,0,0,0,0,-0.687859617
221,59,368.5025,0,1,0,0,0,0,-0.732669972
218,50,375.51778,0,1,0,0,0,0,-0.957376867
223,43,378.54194,0,0,0,0,1,0,-1.029309278
220,38,379.01333,0,0,0,0,1,0,-1.030488498
217,37,379.51361,0,0,0,0,1,0,-1.042018648
212,33,380.01722,0,0,0,0,1,0,-0.984367899
208,36,382.01861,0,0,0,0,1,0,-0.954101256
208,33,382.53778,0,0,0,0,1,0,-1.092725102
208,34,383.0225,0,0,0,0,1,0,-1.095607639
209,37,385.52639,0,0,0,0,1,0,-0.874438404
213,36,386.0275,0,0,0,0,1,0,-0.989870925
217,37,386.50472,0,0,0,0,1,0,-1.004414637
218,40,387.03917,0,0,0,0,1,0,-0.790582769
221,42,387.52333,0,0,0,0,1,0,-0.926717151
221,42,392.03111,0,0,0,0,1,0,-0.858322399
221,42,392.51167,0,0,0,0,1,0,-0.859894692
220,41,397.01333,0,0,0,0,1,0,-0.831855465
220,42,398.02639,0,0,0,0,1,0,-0.831331367
224,46,399.03889,0,1,0,0,0,0,-1.061541288
224,45,401.52583,0,1,0,0,0,0,-1.06573407
223,48,402.0425,0,1,0,0,0,0,-1.05420392
222,58,402.51389,0,1,0,0,0,0,-0.8122018
213,59,403.00806,0,1,0,0,0,0,-0.836834393
209,60,404.52722,0,1,0,0,0,0,-0.844171761
210,55,405.04889,0,1,0,0,0,0,-1.047521674
206,57,405.51333,0,1,0,0,0,0,-1.112640815
213,56,409.01806,0,1,0,0,0,0,-1.114737206
220,51,409.52389,0,1,0,0,0,0,-1.095345591
220,38,410.54667,0,0,0,0,1,0,-1.069402754
219,37,411.03389,0,0,0,0,1,0,-1.10124169
213,33,413.53472,0,0,0,0,1,0,-0.960259405
214,32,421.05028,0,0,0,0,1,0,-0.906670413
217,36,423.51861,0,0,0,0,1,0,-1.08407749
218,36,424.02028,0,0,0,0,1,0,-1.08289827
218,35,424.54972,0,0,0,0,1,0,-1.004545661
222,29,425.02167,0,0,0,1,0,0,-0.46013916
221,31,425.52167,0,0,0,0,1,0,-0.628505551
221,31,426.02167,0,0,0,0,1,0,-0.617368475
220,39,429.04556,0,0,0,0,1,0,-1.004545661
220,38,429.51694,0,0,0,0,1,0,-1.046604503
220,38,430.04972,0,0,0,0,1,0,-1.050928309
224,42,430.54472,0,0,0,0,1,0,-1.111068522
220,51,431.01806,0,1,0,0,0,0,-1.096786859
215,56,431.51306,0,1,0,0,0,0,-1.085911832
211,59,432.01027,0,1,0,0,0,0,-0.84207537
209,60,432.54166,0,1,0,0,0,0,-0.776039058
209,61,434.51833,0,1,0,0,0,0,-0.732276899
215,55,435.51139,0,1,0,0,0,0,-1.078443439
222,42,436.04583,0,0,0,0,1,0,-0.970086237
222,43,443.51972,0,0,0,0,1,0,-0.952397939
218,37,446.51861,0,0,0,0,1,0,-1.050011138
216,31,447.02,0,0,0,0,1,0,-0.728084117
214,30,449.535,0,0,0,1,0,0,-0.681832494
210,34,450.02944,0,0,0,0,1,0,-1.110806473
209,34,450.53056,0,0,0,0,1,0,-1.09888325
189,33,451.51306,0,0,0,0,1,0,-1.014241469
176,31,453.04722,0,0,0,0,0,0,-1.09089076
173,26,453.53528,0,0,0,0,0,0,-1.054334944
172,23,454.01778,0,0,0,0,0,0,-1.076609097
173,30,454.51583,0,0,0,0,0,0,-1.033240011
174,42,455.03278,0,0,0,1,0,0,-0.283780279
174,42,455.50861,0,0,0,1,0,0,-0.259933833
174,42,456.01805,0,0,0,1,0,0,-0.248927781
174,42,456.51305,0,0,0,1,0,0,-0.28469745
173,65,457.54972,0,0,0,0,0,1,-1.092594078
166,70,458.04444,0,0,0,0,0,1,-1.082243148
154,66,469.52028,0,0,0,0,0,1,-0.678032785
154,67,470.04639,0,0,0,0,0,1,-0.689300886
167,72,472.53778,0,0,0,0,0,1,-0.96248682
177,66,475.51833,0,0,0,0,0,1,-1.009655614
184,64,476.03278,0,0,0,0,0,1,-1.088663345
202,57,477.02056,0,0,0,0,0,1,-1.047652699
208,58,479.03222,0,1,0,0,0,0,-0.960259405
209,59,479.51361,0,1,0,0,0,0,-0.869983573
221,50,481.0225,0,1,0,0,0,0,-1.096393786
216,36,482.04972,0,0,0,0,1,0,-1.097179933
211,29,491.02528,0,0,0,1,0,0,-0.679736103
211,28,492.54444,0,0,0,1,0,0,-0.637415212
207,33,500.03861,0,0,0,0,1,0,-1.076871146
210,34,501.01528,0,0,0,0,1,0,-1.118143841
216,32,501.51694,0,0,0,0,1,0,-0.840110004
219,33,502.0475,0,0,0,0,1,0,-0.821897608
220,28,503.51056,0,0,0,1,0,0,-0.396985386
220,38,505.00361,0,0,0,0,1,0,-1.03232284
219,52,506.53333,0,1,0,0,0,0,-1.117619743
211,56,507.03639,0,1,0,0,0,0,-1.106351643
209,56,507.54306,0,1,0,0,0,0,-1.103076032
201,57,521.52083,0,0,0,0,0,1,-1.003366442
197,53,522.5225,0,0,0,1,0,0,-0.582122903
196,52,525.54917,0,0,0,1,0,0,-0.520148349
195,52,526.0125,0,0,0,1,0,0,-0.45332589
196,54,526.51889,0,0,0,1,0,0,-0.582122903
199,61,527.53361,0,0,0,0,0,1,-1.033764109
194,65,528.54166,0,0,0,0,0,1,-1.014372494
186,63,529.0275,0,0,0,0,0,1,-1.101634763
181,65,529.51528,0,0,0,0,0,1,-1.071237096
168,67,530.0125,0,0,0,0,0,1,-1.065340996
160,69,530.53167,0,0,0,0,0,1,-1.109758278
159,72,531.01167,0,0,0,0,0,1,-0.954101256
154,78,545.5425,0,0,0,0,0,1,-0.956328672
153,78,546.02333,0,0,0,0,0,1,-0.966155504
150,78,546.51639,0,0,0,0,1,0,-0.740138364
148,77,547.01528,0,0,0,0,1,0,-0.568889436
148,77,547.51222,0,0,0,0,1,0,-0.545698112
146,76,548.05,0,0,0,0,1,0,-0.421617978
147,76,548.50528,0,0,0,0,1,0,-0.462235551
148,78,549.01028,0,0,0,0,1,0,-0.629422722
147,80,549.54667,0,0,0,0,0,1,-0.781411059
149,84,550.02694,0,0,0,0,0,1,-1.067306363
139,90,550.51667,0,0,0,0,0,1,-1.06337563
135,183,572.52417,0,0,0,0,0,1,-0.979782044
136,185,573.01861,0,0,0,1,0,0,-1.072809389
132,187,573.50944,0,0,0,0,0,1,-1.07136812
124,190,574.55,0,0,0,0,0,1,-0.78586589
123,195,575.03028,0,0,0,0,0,1,-0.972444676
121,197,575.50917,0,0,0,0,0,1,-0.975982336
120,200,576.05,0,0,0,0,0,1,-1.061410264
116,204,576.53194,0,0,0,0,0,1,-1.08971154
111,206,578.01722,0,0,0,0,0,0,-1.045949381
109,206,578.51917,0,0,0,0,0,0,-0.997601367
105,206,579.51889,0,0,0,0,0,0,-0.92226232
106,204,581.51556,0,0,0,0,0,0,-1.039922257
106,205,582.01861,0,0,0,0,0,0,-1.023413179
106,206,583.04194,0,0,0,0,0,0,-0.904442998
106,206,583.54556,0,0,0,0,0,0,-0.901036363
106,206,584.5475,0,0,0,0,0,0,-0.939033447
106,206,585.01556,0,0,0,0,0,0,-0.932351201
106,205,587.01972,0,0,0,0,0,0,-0.989215803
106,205,587.51333,0,0,0,0,0,0,-0.947287986
106,206,588.04917,0,0,0,0,0,0,-0.958687111
106,204,588.53028,0,0,0,0,0,0,-1.040577379
106,206,589.51333,0,0,0,0,0,0,-0.936675007
106,206,590.50806,0,0,0,0,0,0,-0.93261325
105,207,591.02028,0,0,0,0,0,0,-0.845744054
102,211,592.03528,0,0,1,0,0,0,-0.967727797
101,208,592.52056,0,0,0,0,0,0,-1.033240011
101,209,593.01056,0,0,0,0,0,0,-1.018827324
101,210,593.50333,0,0,1,0,0,0,-1.067044314
100,210,594.00694,0,0,1,0,0,0,-1.074643731
101,210,594.52583,0,0,1,0,0,0,-1.05983797
101,210,595.01333,0,0,1,0,0,0,-1.035336402
100,210,595.51056,0,0,0,0,0,0,-1.10923418
